local_noise,link_noise,repeat,local_coverage,local_validity,link_consistency,global_stability,cgcs
0.0,0.5499999999999999,20,1.0,1.0,0.5,1.0,0.5
0.0,0.5499999999999999,21,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.5499999999999999,22,1.0,1.0,0.75,0.5833333333333334,0.4375
0.0,0.5499999999999999,23,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.5499999999999999,24,1.0,1.0,0.625,1.0,0.625
0.0,0.6,0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.6,1,1.0,1.0,0.5833333333333334,1.0,0.5833333333333334
0.0,0.6,2,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.6,3,1.0,1.0,0.5416666666666666,0.8333333333333334,0.4513888888888889
0.0,0.6,4,1.0,1.0,0.75,1.0,0.75
0.0,0.6,5,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.6,6,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.6,7,1.0,1.0,0.75,1.0,0.75
0.0,0.6,8,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.6,9,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6,10,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.6,11,1.0,1.0,0.5833333333333334,1.0,0.5833333333333334
0.0,0.6,12,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6,13,1.0,1.0,0.75,1.0,0.75
0.0,0.6,14,1.0,1.0,0.5416666666666666,0.9166666666666666,0.49652777777777773
0.0,0.6,15,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.6,16,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6,17,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.6,18,1.0,1.0,0.75,1.0,0.75
0.0,0.6,19,1.0,1.0,0.5833333333333334,1.0,0.5833333333333334
0.0,0.6,20,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.6,21,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.6,22,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6,23,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6,24,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6499999999999999,0,1.0,1.0,0.875,1.0,0.875
0.0,0.6499999999999999,1,1.0,1.0,0.75,1.0,0.75
0.0,0.6499999999999999,2,1.0,1.0,0.4583333333333333,1.0,0.4583333333333333
0.0,0.6499999999999999,3,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.6499999999999999,4,1.0,1.0,0.5,1.0,0.5
0.0,0.6499999999999999,5,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.6499999999999999,6,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.6499999999999999,7,1.0,1.0,0.4583333333333333,0.5833333333333334,0.2673611111111111
0.0,0.6499999999999999,8,1.0,1.0,0.75,1.0,0.75
0.0,0.6499999999999999,9,1.0,1.0,0.7916666666666666,0.9166666666666666,0.7256944444444444
0.0,0.6499999999999999,10,1.0,1.0,0.75,1.0,0.75
0.0,0.6499999999999999,11,1.0,1.0,0.6666666666666666,0.9166666666666666,0.611111111111111
0.0,0.6499999999999999,12,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.6499999999999999,13,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6499999999999999,14,1.0,1.0,0.5416666666666666,0.6666666666666666,0.36111111111111105
0.0,0.6499999999999999,15,1.0,1.0,0.5833333333333334,1.0,0.5833333333333334
0.0,0.6499999999999999,16,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6499999999999999,17,1.0,1.0,0.75,1.0,0.75
0.0,0.6499999999999999,18,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.6499999999999999,19,1.0,1.0,0.5,1.0,0.5
0.0,0.6499999999999999,20,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.6499999999999999,21,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
