mode,sample_size,trial,signal_rate,unique_lanes_seen
uniform,25,176,0.2,4
constrained,25,176,1.0,7
uniform,25,177,0.36,6
constrained,25,177,1.0,7
uniform,25,178,0.2,4
constrained,25,178,1.0,8
uniform,25,179,0.36,4
constrained,25,179,1.0,8
uniform,25,180,0.28,6
constrained,25,180,1.0,8
uniform,25,181,0.32,6
constrained,25,181,1.0,7
uniform,25,182,0.28,5
constrained,25,182,1.0,8
uniform,25,183,0.24,4
constrained,25,183,1.0,7
uniform,25,184,0.28,5
constrained,25,184,1.0,8
uniform,25,185,0.32,5
constrained,25,185,1.0,8
uniform,25,186,0.28,6
constrained,25,186,1.0,6
uniform,25,187,0.36,5
constrained,25,187,1.0,7
uniform,25,188,0.2,3
constrained,25,188,1.0,8
uniform,25,189,0.24,4
constrained,25,189,1.0,7
uniform,25,190,0.32,5
constrained,25,190,1.0,8
uniform,25,191,0.28,5
constrained,25,191,1.0,8
uniform,25,192,0.2,3
constrained,25,192,1.0,8
uniform,25,193,0.2,4
constrained,25,193,1.0,8
uniform,25,194,0.28,5
constrained,25,194,1.0,8
uniform,25,195,0.24,3
constrained,25,195,1.0,8
uniform,25,196,0.36,6
constrained,25,196,1.0,7
uniform,25,197,0.16,3
constrained,25,197,1.0,8
uniform,25,198,0.24,5
constrained,25,198,1.0,8
uniform,25,199,0.28,5
constrained,25,199,1.0,8
uniform,50,0,0.22,5
constrained,50,0,1.0,8
uniform,50,1,0.18,3
constrained,50,1,1.0,8
uniform,50,2,0.38,7
constrained,50,2,1.0,7
uniform,50,3,0.34,7
constrained,50,3,1.0,8
uniform,50,4,0.28,6
constrained,50,4,1.0,8
uniform,50,5,0.26,5
constrained,50,5,1.0,8
uniform,50,6,0.16,6
constrained,50,6,1.0,8
uniform,50,7,0.32,8
constrained,50,7,1.0,8
uniform,50,8,0.36,8
constrained,50,8,1.0,8
uniform,50,9,0.2,5
constrained,50,9,1.0,8
uniform,50,10,0.22,4
constrained,50,10,1.0,8
uniform,50,11,0.28,8
constrained,50,11,1.0,8
uniform,50,12,0.32,7
constrained,50,12,1.0,8
uniform,50,13,0.3,7
constrained,50,13,1.0,8
uniform,50,14,0.22,6
constrained,50,14,1.0,8
uniform,50,15,0.3,8
constrained,50,15,1.0,8
uniform,50,16,0.4,7
constrained,50,16,1.0,8
uniform,50,17,0.24,4
constrained,50,17,1.0,8
uniform,50,18,0.22,6
constrained,50,18,1.0,8
uniform,50,19,0.2,8
constrained,50,19,1.0,8
uniform,50,20,0.22,7
constrained,50,20,1.0,8
uniform,50,21,0.36,7
constrained,50,21,1.0,8
uniform,50,22,0.36,7
constrained,50,22,1.0,8
uniform,50,23,0.28,7
constrained,50,23,1.0,8
uniform,50,24,0.22,6
constrained,50,24,1.0,8
uniform,50,25,0.36,6
constrained,50,25,1.0,8
uniform,50,26,0.3,5
constrained,50,26,1.0,8
uniform,50,27,0.22,6
constrained,50,27,1.0,8
uniform,50,28,0.2,7
constrained,50,28,1.0,8
uniform,50,29,0.24,5
constrained,50,29,1.0,8
uniform,50,30,0.18,7
constrained,50,30,1.0,8
uniform,50,31,0.28,7
constrained,50,31,1.0,8
uniform,50,32,0.22,5
constrained,50,32,1.0,8
uniform,50,33,0.18,7
constrained,50,33,1.0,8
uniform,50,34,0.32,6
constrained,50,34,1.0,8
uniform,50,35,0.26,8
constrained,50,35,1.0,8
uniform,50,36,0.3,8
constrained,50,36,1.0,8
uniform,50,37,0.32,7
constrained,50,37,1.0,8
uniform,50,38,0.28,6
constrained,50,38,1.0,8
uniform,50,39,0.3,8
constrained,50,39,1.0,8
uniform,50,40,0.18,6
constrained,50,40,1.0,8
uniform,50,41,0.28,7
constrained,50,41,1.0,8
uniform,50,42,0.24,7
constrained,50,42,1.0,8
uniform,50,43,0.34,7
constrained,50,43,1.0,8
uniform,50,44,0.16,5
constrained,50,44,1.0,8
uniform,50,45,0.32,7
constrained,50,45,1.0,8
uniform,50,46,0.26,8
constrained,50,46,1.0,8
uniform,50,47,0.28,6
constrained,50,47,1.0,8
uniform,50,48,0.18,6
constrained,50,48,1.0,8
uniform,50,49,0.2,6
constrained,50,49,1.0,8
uniform,50,50,0.24,6
constrained,50,50,1.0,8
uniform,50,51,0.26,4
constrained,50,51,1.0,8
uniform,50,52,0.26,6
constrained,50,52,1.0,8
uniform,50,53,0.44,8
constrained,50,53,1.0,8
uniform,50,54,0.28,6
constrained,50,54,1.0,8
uniform,50,55,0.24,8
constrained,50,55,1.0,8
uniform,50,56,0.32,7
constrained,50,56,1.0,8
uniform,50,57,0.4,8
constrained,50,57,1.0,8
uniform,50,58,0.18,6
constrained,50,58,1.0,8
uniform,50,59,0.26,7
constrained,50,59,1.0,8
uniform,50,60,0.22,6
constrained,50,60,1.0,8
uniform,50,61,0.34,8
constrained,50,61,1.0,8
uniform,50,62,0.26,6
constrained,50,62,1.0,8
uniform,50,63,0.26,7
constrained,50,63,1.0,8
uniform,50,64,0.2,5
constrained,50,64,1.0,8
uniform,50,65,0.32,8
constrained,50,65,1.0,8
uniform,50,66,0.36,7
constrained,50,66,1.0,8
uniform,50,67,0.24,7
constrained,50,67,1.0,8
uniform,50,68,0.3,8
constrained,50,68,1.0,8
uniform,50,69,0.34,7
constrained,50,69,1.0,8
uniform,50,70,0.24,8
constrained,50,70,1.0,8
uniform,50,71,0.34,8
constrained,50,71,1.0,7
uniform,50,72,0.22,6
constrained,50,72,1.0,8
uniform,50,73,0.24,6
constrained,50,73,1.0,8
uniform,50,74,0.22,7
constrained,50,74,1.0,8
uniform,50,75,0.3,7
constrained,50,75,1.0,8
uniform,50,76,0.24,6
constrained,50,76,1.0,8
uniform,50,77,0.34,7
constrained,50,77,1.0,8
uniform,50,78,0.2,5
constrained,50,78,1.0,8
uniform,50,79,0.26,4
constrained,50,79,1.0,8
uniform,50,80,0.26,8
constrained,50,80,1.0,8
uniform,50,81,0.42,8
constrained,50,81,1.0,8
uniform,50,82,0.24,5
constrained,50,82,1.0,8
uniform,50,83,0.26,7
constrained,50,83,1.0,8
uniform,50,84,0.28,8
constrained,50,84,1.0,8
uniform,50,85,0.22,7
constrained,50,85,1.0,8
uniform,50,86,0.24,7
constrained,50,86,1.0,8
uniform,50,87,0.24,7
constrained,50,87,1.0,8
uniform,50,88,0.26,6
constrained,50,88,1.0,8
uniform,50,89,0.26,6
constrained,50,89,1.0,8
uniform,50,90,0.32,7
constrained,50,90,1.0,8
uniform,50,91,0.26,6
constrained,50,91,1.0,8
uniform,50,92,0.3,6
constrained,50,92,1.0,8
uniform,50,93,0.28,8
constrained,50,93,1.0,8
uniform,50,94,0.3,8
constrained,50,94,1.0,8
