feature,peak_residue,lane_mass_ratio,activation_count,dead,valid_peak,hidden_dim,topk
14,7,0.645039439201355,34,0,1,32,4
15,23,0.6898230910301208,24,0,1,32,4
16,21,0.2794109284877777,0,1,0,32,4
17,11,0.24900440871715546,0,1,1,32,4
18,1,0.8963001370429993,600,0,1,32,4
19,7,0.8484246730804443,0,1,1,32,4
20,1,0.7033907771110535,62,0,1,32,4
21,19,0.6986711621284485,555,0,1,32,4
22,29,0.36912643909454346,0,1,1,32,4
23,7,0.23273001611232758,0,1,1,32,4
24,17,0.3822840750217438,0,1,1,32,4
25,18,0.48551878333091736,0,1,0,32,4
26,12,0.28324902057647705,0,1,0,32,4
27,1,0.5385059118270874,450,0,1,32,4
28,7,0.2768740653991699,0,1,1,32,4
29,21,0.19962088763713837,0,1,0,32,4
30,23,0.6606909036636353,0,1,1,32,4
31,19,0.74095219373703,0,1,1,32,4
